month,month_num,max_temp,min_temp,frost_days,sunshine,precip,rain_days
January ,1,7.1,2,8.6,57.5,64.7,12
February ,2,7.4,1.7,9.5,76.4,46.6,9.7
March ,3,10.5,3.5,4,107.1,48.9,10.2
April ,4,13.3,5,1.5,151.6,51.5,9.9
May ,5,16.8,8,0.1,192.2,58,9.5
June ,6,19.9,10.9,0,191,54.2,9
July ,7,22.4,13.2,0,199.9,50.4,8.5
August ,8,22,13.1,0,193,64.4,8.9
September ,9,18.8,11,0,140.8,56.9,8.8
October ,10,14.6,8.1,0.3,109.9,77.7,11
November ,11,10.3,4.8,2.9,69.4,68.3,11.4
December ,12,7.4,2.5,7.7,51.6,62.9,11.4
