variable,time,emissions,5_perc,10_perc,50_perc,90_perc,95_perc
mean annual temperature (°C),2010-2029,SRES A1B,-0.1,0.1,0.6,1.1,1.2
mean annual temperature (°C),2020-2039,SRES A1B,0.1,0.3,0.8,1.4,1.6
mean annual temperature (°C),2030-2049,SRES A1B,0.3,0.5,1.2,1.9,2.1
mean annual temperature (°C),2040-2059,SRES A1B,0.5,0.7,1.5,2.4,2.7
mean annual temperature (°C),2050-2069,SRES A1B,0.7,0.9,1.9,2.9,3.2
mean annual temperature (°C),2060-2079,SRES A1B,0.9,1.2,2.2,3.4,3.7
mean annual temperature (°C),2070-2089,SRES A1B,1.2,1.4,2.6,3.9,4.3
mean annual temperature (°C),2080-2099,SRES A1B,1.3,1.7,3,4.5,4.9
mean winter temperature (°C),2010-2029,SRES A1B,-0.5,-0.3,0.4,1.1,1.3
mean winter temperature (°C),2020-2039,SRES A1B,-0.3,-0.1,0.7,1.5,1.7
mean winter temperature (°C),2030-2049,SRES A1B,-0.1,0.1,1,1.9,2.2
mean winter temperature (°C),2040-2059,SRES A1B,0,0.2,1.3,2.4,2.8
mean winter temperature (°C),2050-2069,SRES A1B,0.1,0.4,1.6,2.9,3.3
mean winter temperature (°C),2060-2079,SRES A1B,0.2,0.5,1.8,3.3,3.7
mean winter temperature (°C),2070-2089,SRES A1B,0.3,0.7,2.1,3.8,4.3
mean winter temperature (°C),2080-2099,SRES A1B,0.4,0.8,2.4,4.3,4.8
mean summer temperature (°C),2010-2029,SRES A1B,-0.1,0.1,0.9,1.6,1.9
mean summer temperature (°C),2020-2039,SRES A1B,-0.1,0.2,1,2,2.2
mean summer temperature (°C),2030-2049,SRES A1B,0.1,0.4,1.5,2.6,2.9
mean summer temperature (°C),2040-2059,SRES A1B,0.7,1,2.1,3.4,3.7
mean summer temperature (°C),2050-2069,SRES A1B,0.8,1.1,2.4,3.9,4.4
mean summer temperature (°C),2060-2079,SRES A1B,1,1.3,2.9,4.6,5
mean summer temperature (°C),2070-2089,SRES A1B,1.2,1.7,3.5,5.5,6
mean summer temperature (°C),2080-2099,SRES A1B,1.5,2,4,6.2,6.9
mean winter precipitation (%),2010-2029,SRES A1B,-12,-9,3,15,18
mean winter precipitation (%),2020-2039,SRES A1B,-10,-6,6,19,22
