id,name,segment,contents,
1,griselinia bed,6,"pittosporum, griselinia, astrantia",
2,south east bed ,6,pittosporum,
3,round bed,6,"dahlia, rudbeckia, aster, nasturtium",
4,herb spiral,4,"artemesia, mint, alium, lavender",
5,rose bed,5,rose,
6,north east bed,5,"camellia, hollyhock",
7,vegetable patch,10,"courgette, kale, strawberry, apple, chard, nasturtium",
8,west border south,10,"lilac, anemone",
9,bench bed,10,"box, pittosporum",
10,west border north,10,"dahlia, hollyhock, iris, holly",
11,south border,10,"rhododendron, lilac, euphorbia, choysia, witch hazel",
12,north border,10,"anemone, hamamelis, cercis, rose, raspberry, elder",
13,wildflower meadow,5,"grass, clover",
14,patterson border,10,"lilac, fern, hebe, corokia, poroporo, hydrangea, manuka, sedge, olearia",
15,east court,4,"clematis, hollyhock",
16,west court,2,"hops, rudbeckia, hollyhock",
