id,type,x_coord,y_coord,radius,state,
1,oak,70,70,50,mid,
2,plane,220,40,65,young,
3,plane,355,30,25,young,
4,lime,470,20,25,mid,
5,sycamore,555,40,30,,
6,plane,35,120,20,,
7,dogwood,150,105,10,,
8,tuliptree,605,90,55,,
9,plane,45,162,65,,
10,plane,225,190,95,,
11,plane,700,140,58,,
12,plane,41,265,85,,
13,plane,345,292,64,,
14,plane,405,250,60,,
15,hoheria,694,256,10,,
16,plane,697,222,62,,
17,plane,42,380,77,,
18,plane,415,320,67,,
19,robinia,698,296,32,,
20,almond,360,490,15,,
21,cherry,577,369,14,,
22,cherry,600,363,17,,
23,lime,652,360,52,,
24,koelreuteria,703,340,33,,
25,cherry,602,382,22,,
26,lime,97,452,39,,
27,rowan,154,488,16,diseased,
28,cherry,233,468,33,,
29,cherry,350,460,31,,
30,cherry,399,435,32,,
31,cherry,387,466,34,,
32,cherry,455,462,29,,
33,plum,502,457,23,diseased,
34,fig,631,429,36,,
35,cherry,656,455,37,,
36,birch,612,478,27,,
37,hawthorn,589,496,23,,
38,plane,78,534,95,,
39,plane,190,546,78,,
40,yew,249,542,32,,
41,sophora,280,542,26,,
42,hoheria,296,544,25,,
43,hoheria,317,543,24,,
44,sophora,342,540,26,,
45,plane,446,548,80,,
46,plane,552,534,66,,
47,plane,619,530,67,,
48,plane,688,523,74,,
49,acer,262,368,13,,
50,robinia,705,175,11,young,
51,holly,705,31,28,,
52,sumac,442,32,21,,
53,myrtle,276,48,25,,
54,birch,118,30,12,young,
55,hazel,99,60,14,mid,
56,abutilon,70,132,9,,
57,azara,51,202,11,,
58,magnolia,42,216,14,,
59,ilex,45,470,29,,
60,acer,105,532,9,,
61,hawthorn,165,532,11,,
62,pseudopanax,267,543,4,,
63,pseudopanax,307,546,3,,
64,hoheria,391,533,18,,
65,coprosma,487,528,14,,
66,hoheria,493,540,21,,
